URL,Status Code,Content-Type,Parent URL,Input Line
https://axial.acs.org/2020/02/03/coronavirus-research/,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,2
https://www.data-archive.ac.uk/managing-data/,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,3
https://soton.idm.oclc.org/login?url=https://www.sciencedirect.com/science/referenceworks/9780080449104,200,text/html,https://library.soton.ac.uk/az.php?,4
https://soton.idm.oclc.org/login?url=https://heinonline.org/HOL/Index?collection=aals&set_as_cursor=clear,200,text/html,https://library.soton.ac.uk/az.php?,5
https://soton.idm.oclc.org/login?url=https://www.emeraldinsight.com/2049-8799.htm,200,text/html,https://library.soton.ac.uk/az.php?,6
https://ieee-dataport.org/sites/default/files/analysis/27/IEEE%20Citation%20Guidelines.pdf,200,application/pdf,https://library.soton.ac.uk/az.php?,7
https://soton.idm.oclc.org/login?url=https://www.annualreviews.org/journal/pharmtox,200,text/html,https://library.soton.ac.uk/az.php?,8
https://ads.harvard.edu,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,9
https://www.nato.int/cps/en/natohq/topics_88745.htm,403,text/html,https://library.soton.ac.uk/az.php?,10
https://soton.idm.oclc.org/login?url=https://www.annualreviews.org/journal/genom,200,text/html,https://library.soton.ac.uk/az.php?,11
https://soton.idm.oclc.org/login?url=https://www.europeansources.info/,200,text/html,https://library.soton.ac.uk/az.php?,12
https://soton.idm.oclc.org/login?url=https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000131,200,text/html,https://library.soton.ac.uk/az.php?,13
https://library.soton.ac.uk/ProQuestOneAcademic,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,14
https://app.library.soton.ac.uk/video/evaluatingwebresources,200,text/html,https://library.soton.ac.uk/az.php?,15
https://scimagojr.com,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,16
https://ui.adsabs.harvard.edu/classic-form,200,text/html,https://library.soton.ac.uk/az.php?,17
https://soton.idm.oclc.org/login?url=https://go.gale.com/ps/start.do?p=STND&u=unisoton,200,text/html,https://library.soton.ac.uk/az.php?,18
https://soton.idm.oclc.org/login?url=https://www.emeraldinsight.com/loi/jpcc,200,text/html,https://library.soton.ac.uk/az.php?,19
https://soton.idm.oclc.org/login?url=https://www.irishnewsarchive.com,200,text/html,https://library.soton.ac.uk/az.php?,20
https://voices.iit.edu/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,21
http://www.davidfaithfull.co.uk/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,22
https://www.ambeckdesign.blogspot.com/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,23
http://www.sexandsexuality.amdigital.co.uk,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,24
https://www.jpo.go.jp/e/index.html,Timeout after 15 seconds,,https://library.soton.ac.uk/az.php?,25
"https://soton.idm.oclc.org/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,shib&profile=ehost&defaultdb=mzh",200,text/html,https://library.soton.ac.uk/az.php?,26
http://bufvc.ac.uk/tvandradio/trilt/,401,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,27
https://www.digitaltransgenderarchive.net/,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,28
https://soton.idm.oclc.org/login?url=https://search.alexanderstreet.com/revo,200,text/html,https://library.soton.ac.uk/az.php?,29
https://soton.idm.oclc.org/login?url=http://www.jove.com/,200,text/html,https://library.soton.ac.uk/az.php?,30
https://soton.idm.oclc.org/login?url=https://www.emeraldinsight.com/1460-1060.htm,200,text/html,https://library.soton.ac.uk/az.php?,31
https://soton.idm.oclc.org/login?url=https://www.emeraldinsight.com/0140-9174.htm,200,text/html,https://library.soton.ac.uk/az.php?,32
https://soton.idm.oclc.org/login?url=https://heinonline.org/HOL/Index?collection=ustreaties,200,text/html,https://library.soton.ac.uk/az.php?,33
https://www.bl.uk/social-welfare,404,text/html,https://library.soton.ac.uk/az.php?,34
https://dal.ca.libguides.com/content.php?pid=860&sid=11818,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,35
https://www.osa.org/,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,36
https://soton.idm.oclc.org/login?url=https://portal.acm.org/dl.cfm?coll=portal&dl=ACM,200,text/html,https://library.soton.ac.uk/az.php?,37
https://login.bufvc.ac.uk/wayfless.php?entityID=https://webauth.soton.ac.uk/shibboleth&target=http://bufvc.ac.uk/tvandradio/independent-radio,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,38
https://www.bl.uk/business-and-management,404,text/html,https://library.soton.ac.uk/az.php?,39
https://www.fordham.edu/halsall/jewish/jewishsbook.asp,200,text/html,https://library.soton.ac.uk/az.php?,40
https://www.iln.org.uk/newyeargrid.htm,200,text/html,https://library.soton.ac.uk/az.php?,41
https://www.tms.org/,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,42
https://www.nasa.gov/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,43
https://soton.idm.oclc.org/login?url=https://www.nejm.org/coronavirus,200,text/html,https://library.soton.ac.uk/az.php?,44
https://www.lucy-harrison.co.uk/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,45
https://www.southampton.ac.uk/library/subjects/librarians.html,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,46
https://planetmath.org/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,47
https://opil.ouplaw.com/home/oril,200,text/html;charset=UTF-8,https://library.soton.ac.uk/az.php?,48
https://www.yadvashem.org/,200,text/html,https://library.soton.ac.uk/az.php?,49
https://soton.idm.oclc.org/login?url=https://www.emeraldinsight.com/1746-8809.htm,200,text/html,https://library.soton.ac.uk/az.php?,50
https://www.ukia.org,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,51
https://soton.idm.oclc.org/login?url=https://www.annualreviews.org/journal/genet,200,text/html,https://library.soton.ac.uk/az.php?,52
https://soton.idm.oclc.org/login?url=https://www.emeraldinsight.com/1832-5912.htm,200,text/html,https://library.soton.ac.uk/az.php?,53
https://www.geospatialworld.net/,520,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,54
https://soton.idm.oclc.org/login?url=https://search.proquest.com/ncjrs/search?accountid=13963&language=en,200,text/html,https://library.soton.ac.uk/az.php?,55
https://library.soton.ac.uk/HeiniOnline,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,56
https://soton.idm.oclc.org/login?url=https://heinonline.org/HOL/Index?index=forrelmain&collection=forrel,200,text/html,https://library.soton.ac.uk/az.php?,57
https://chroniclingamerica.loc.gov/,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,58
https://clutejournals.com/index.php/JBCS,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,59
https://soton.idm.oclc.org/login?url=https://link.gale.com/apps/INDA?u=unisoton,200,text/html,https://library.soton.ac.uk/az.php?,60
https://www.rgs.org/,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,61
https://www.gov.uk/government/organisations/uk-space-agency,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,62
https://www.npg.org.uk/collections.php,403,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,63
https://www.nlc-bnc.ca/thesescanada/,404,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,64
https://soton.idm.oclc.org/login?url=https://britishonlinearchives.com/collections/85/prosecuting-the-holocaust-british-investigations-into-nazi-crimes-1944-1949,200,text/html,https://library.soton.ac.uk/az.php?,65
https://library.soton.ac.uk/AS_heretohelp,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,66
https://www.bridgemanimages.com/en-GB/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,67
http://www.chemspider.com/Help.aspx,200,text/html;charset=utf-8,https://library.soton.ac.uk/az.php?,68
https://soton.idm.oclc.org/login?url=https://sk.sagepub.com/reference/socialtheory,200,text/html,https://library.soton.ac.uk/az.php?,69
https://jusp.mimas.ac.uk/,Timeout after 15 seconds,,https://library.soton.ac.uk/az.php?,70
https://soton.idm.oclc.org/login?url=https://www.annualreviews.org/journal/biochem,200,text/html,https://library.soton.ac.uk/az.php?,71
https://www.nypl.org/research/collections/digital-collections/public-domain,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,72
https://eppi.ioe.ac.uk/cms/Default.aspx?tabid=56,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,73
https://unispal.un.org/unispal.nsf/udc.htm,Connection error: Cannot connect to host unispal.un.org:443 ssl:False [[SSL: UNSAFE_LEGACY_RENEGOTIATION_DISABLED] unsafe legacy renegotiation disabled (_ssl.c:1000)],,https://library.soton.ac.uk/az.php?,74
https://soton.idm.oclc.org/login?url=https://www.annualreviews.org/journal/resource,200,text/html,https://library.soton.ac.uk/az.php?,75
https://library.soton.ac.uk/internetarchive,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,76
https://soton.idm.oclc.org/login?url=https://www.annualreviews.org/journal/psych,200,text/html,https://library.soton.ac.uk/az.php?,77
https://library.soton.ac.uk/nol,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,78
https://soton.idm.oclc.org/login?url=https://brill.com/,200,text/html,https://library.soton.ac.uk/az.php?,79
https://soton.idm.oclc.org/login?url=https://www.proquest.com/hnpnorfolkjournalguide1/news/fromDatabasesLayer?accountid=13963,200,text/html,https://library.soton.ac.uk/az.php?,80
https://support.gale.com/training/videos/gls,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,81
https://www.thecommonwealth-ilibrary.org/index.php/comsec/catalog,200,text/html; charset=utf-8,https://library.soton.ac.uk/az.php?,82
https://soton.idm.oclc.org/login?url=https://www.emeraldinsight.com/1176-6093.htm,200,text/html,https://library.soton.ac.uk/az.php?,83
https://app.wileydigitalarchives.com/baas/detail/BSAUFA002-C0005-BO0000900,200,text/html,https://library.soton.ac.uk/az.php?,84
https://soton.idm.oclc.org/login?url=https://search.proquest.com/electronicscomms/search?accountid=13963&language=en,200,text/html,https://library.soton.ac.uk/az.php?,85
https://www.artsprofessional.co.uk/register/higher-education-or-further-education-institution-subscription?ca=78a9dae32abab1e6c680b2d51a714bc5,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?,86
https://soton.idm.oclc.org/login?url=https://www.annualreviews.org/journal/physiol,200,text/html,https://library.soton.ac.uk/az.php?,87
https://www.vtstutorials.ac.uk/tutorial/archives/,Timeout after 15 seconds,,https://library.soton.ac.uk/az.php?,88
